customer_id,total_transaction_amount,average_transaction_amount,transaction_count,average_balance_before,unique_merchants,fraud_count
117500,3012891.11,4782.37,630,75877.7,12,4
121749,21371285.66,35208.05,607,76592.71,12,11
100800,19430416.16,32063.39,606,75827.41,12,7
115528,947627.18,1584.66,598,75397.36,12,5
124967,800557.26,1295.4,618,74683.87,12,8
104053,882567.84,1412.11,625,74794.18,12,3
110682,248287.91,417.99,594,74311.23,12,4
124411,2426909.72,3965.54,612,73914.86,12,9
102793,15679682.63,26802.88,585,75224.79,12,8
109172,2423921.18,3799.25,638,79166.38,12,3
120706,6985957.76,12128.4,576,74696.81,12,11
102798,1047782.99,1673.77,626,75808.65,12,2
103357,595853.74,994.75,599,76240.03,12,6
102960,2036487.56,3457.53,589,75351.22,12,6
106783,501038.97,912.64,549,76339.85,12,8
105665,232163.48,367.93,631,77886.41,12,1
109622,7870454.27,13183.34,597,77124.9,12,5
101094,859817.06,1402.64,613,75113.01,12,2
124743,4896953.35,8667.17,565,77107.09,12,5
110081,969187.31,1575.91,615,75684.4,12,14
115741,18080567.36,28428.57,636,73759.85,12,9
102524,1067803.13,2014.72,530,78552.24,12,8
103011,2066523.89,3398.89,608,74273.61,12,3
112020,2170767.31,3939.69,551,78315.01,12,5
101055,629057.18,1086.45,579,78524.38,12,3
113652,4063883.68,6379.72,637,75707.11,12,8
110904,2487150.35,4124.63,603,77857.04,12,14
121854,3669189.73,5966.16,615,75340.44,12,11
114503,3563932.01,5989.8,595,73725.27,12,7
103902,2349840.88,4003.14,587,75974.76,12,5
109909,2040512.58,3339.63,611,78453.56,12,7
118185,3801599.84,6221.93,611,75114.44,12,3
114206,940499.49,1632.81,576,76118.64,12,6
117437,22039706.93,35039.28,629,77625.63,12,11
106544,571263.43,928.88,615,77681.33,12,4
116312,758699.31,1198.58,633,78630.6,12,10
106724,2210739.26,3642.07,607,77667.53,12,7
117994,645172.58,1177.32,548,77539.52,12,6
104688,1570595.99,2703.26,581,73749.5,12,2
107536,1333870.56,2215.73,602,75088.76,12,6
120899,4242966.14,6734.87,630,74516.26,12,7
104880,4278938.28,6463.65,662,75675.63,12,5
104656,283552.68,438.94,646,76179.28,12,4
109068,19210496.27,33526.17,573,74885.99,12,12
108560,155153.83,249.44,622,74778.04,12,4
124861,1195042.31,1893.89,631,76335.94,12,7
100986,840161.98,1404.95,598,76044.94,12,1
118989,955634.84,1691.39,565,74743.13,12,2
122334,14338815.08,25513.91,562,73671.39,12,5
102119,4201122.07,6864.58,612,76778.37,12,4
102594,985190.72,1675.49,588,75111.22,12,8
100884,1009701.89,1765.21,572,79651.68,12,9
109608,649474.54,1080.66,601,76857.7,12,10
117987,2749279.41,4582.13,600,79284.76,12,7
114851,223315.92,360.77,619,75437.41,12,2
109613,3008234.4,4700.37,640,79079.37,12,8
101475,516003.73,906.86,569,76268.19,12,8
111515,969241.98,1665.36,582,73942.78,12,5
103747,4356063.91,7920.12,550,74096.47,12,5
104064,3111494.46,5084.14,612,74517.59,12,7
108806,613224.23,1114.95,550,73967.84,12,5
112971,16665047.01,26244.17,635,73413.33,12,8
100446,17475558.23,29975.23,583,80592.86,12,7
111300,267876.95,465.06,576,75185.2,12,7
101627,882644.83,1376.98,641,76310.95,12,6
124647,595516.07,995.85,598,79506.52,12,7
119813,1021113.83,1736.59,588,72599.68,12,9
119517,892846.79,1365.21,654,73642.02,12,9
105536,714351.55,1210.77,590,74511.7,12,8
122484,2579995.18,4243.41,608,75779.93,12,4
101775,591383.71,1041.17,568,75518.8,12,3
122555,663151.7,1101.58,602,75627.46,12,6
107032,144329.53,248.42,581,76435.82,12,8
116259,168349.72,285.82,589,75561.15,12,4
120861,15002766.07,25471.59,589,76280.08,12,7
121763,871656.74,1387.99,628,76072.88,12,3
113000,769076.28,1209.24,636,74962.08,12,5
100274,804817.57,1407.02,572,77983.37,12,7
106535,833208.48,1407.45,592,76991.85,12,6
111381,3687266.23,5985.82,616,75357.41,12,4
102982,3868757.88,6624.59,584,78359.44,12,4
116830,796431.0,1361.42,585,76059.25,12,5
114312,914990.72,1514.89,604,77056.47,12,3
121951,568545.47,990.5,574,78272.15,12,4
108549,1154954.87,2022.69,571,76502.14,12,6
116947,4526608.86,7672.22,590,74183.53,12,5
110433,984146.09,1659.61,593,75954.74,12,5
103942,3556240.93,5946.89,598,72979.16,12,2
111627,1431324.86,2331.15,614,76878.16,12,4
111174,15106186.36,25647.18,589,76493.89,12,10
106582,2626735.74,4513.29,582,74095.22,12,6
107896,785012.89,1414.44,555,79168.62,12,5
116895,3757171.66,5888.98,638,75645.74,12,2
118018,1101986.91,1794.77,614,75485.38,12,7
117349,3865698.0,6136.03,630,75941.34,12,7
119261,186910.02,331.99,563,74929.29,12,6
102262,327206.97,538.17,608,75864.91,12,6
124225,222089.92,350.3,634,73895.03,12,7
112159,184927.13,305.16,606,78480.18,12,8
100220,623557.24,1002.5,622,73800.35,12,7
121613,856203.5,1441.42,594,76075.21,12,4
101862,160587.91,269.9,595,74921.87,12,12
120749,937343.71,1516.74,618,75047.32,12,5
